x-axis;1;2;;diodo 1;
second;Volt;Volt;;Vd;Id
-4,37E+00;2,40E+10;1,69E+10;;7,15E+09;1,13E+16
-4,37E+00;2,40E+10;1,72E+10;;6,84E+09;1,15E+16
-4,36E+00;2,45E+10;1,72E+10;;7,34E+09;1,15E+16
-4,36E+00;2,45E+10;1,72E+10;;7,34E+09;1,15E+16
-4,35E+00;2,45E+10;1,72E+10;;7,34E+09;1,15E+16
-4,35E+00;2,45E+10;1,69E+10;;7,65E+09;1,13E+16
-4,34E+00;2,45E+10;1,69E+10;;7,65E+09;1,13E+16
-4,34E+00;2,45E+10;1,69E+10;;7,65E+09;1,13E+16
-4,33E+00;2,45E+10;1,69E+10;;7,65E+09;1,13E+16
-4,33E+00;2,40E+10;1,69E+10;;7,15E+09;1,13E+16
-4,32E+00;2,40E+10;1,69E+10;;7,15E+09;1,13E+16
-4,32E+00;2,45E+10;1,69E+10;;7,65E+09;1,13E+16
-4,31E+00;2,45E+10;1,69E+10;;7,65E+09;1,13E+16
-4,31E+00;2,40E+10;1,66E+10;;7,46E+09;1,11E+16
-4,30E+00;2,35E+10;1,62E+10;;7,28E+09;1,08E+16
-4,30E+00;2,35E+10;1,62E+10;;7,28E+09;1,08E+16
-4,29E+00;2,40E+10;1,62E+10;;7,78E+09;1,08E+16
-4,29E+00;2,40E+10;1,66E+10;;7,46E+09;1,11E+16
-4,28E+00;2,40E+10;1,66E+10;;7,46E+09;1,11E+16
-4,28E+00;2,40E+10;1,62E+10;;7,78E+09;1,08E+16
-4,27E+00;2,35E+10;1,66E+10;;6,96E+09;1,11E+16
-4,27E+00;2,40E+10;1,62E+10;;7,78E+09;1,08E+16
-4,26E+00;2,40E+10;1,62E+10;;7,78E+09;1,08E+16
-4,26E+00;2,40E+10;1,62E+10;;7,78E+09;1,08E+16
-4,25E+00;2,35E+10;1,62E+10;;7,28E+09;1,08E+16
-4,25E+00;2,30E+10;1,56E+10;;7,40E+09;1,04E+16
-4,24E+00;2,30E+10;1,56E+10;;7,40E+09;1,04E+16
-4,24E+00;2,30E+10;1,56E+10;;7,40E+09;1,04E+16
-4,23E+00;2,35E+10;1,59E+10;;7,59E+09;1,06E+16
-4,23E+00;2,35E+10;1,59E+10;;7,59E+09;1,06E+16
-4,22E+00;2,30E+10;1,59E+10;;7,09E+09;1,06E+16
-4,22E+00;2,30E+10;1,59E+10;;7,09E+09;1,06E+16
-4,21E+00;2,35E+10;1,59E+10;;7,59E+09;1,06E+16
-4,21E+00;2,30E+10;1,59E+10;;7,09E+09;1,06E+16
-4,20E+00;2,30E+10;1,59E+10;;7,09E+09;1,06E+16
-4,20E+00;2,30E+10;1,56E+10;;7,40E+09;1,04E+16
-4,19E+00;2,30E+10;1,56E+10;;7,40E+09;1,04E+16
-4,19E+00;2,30E+10;1,56E+10;;7,40E+09;1,04E+16
-4,18E+00;2,30E+10;1,56E+10;;7,40E+09;1,04E+16
-4,18E+00;2,30E+10;1,53E+10;;7,71E+09;1,02E+16
-4,17E+00;2,30E+10;1,53E+10;;7,71E+09;1,02E+16
-4,17E+00;2,25E+10;1,53E+10;;7,21E+09;1,02E+16
-4,16E+00;2,25E+10;1,53E+10;;7,21E+09;1,02E+16
-4,16E+00;2,25E+10;1,53E+10;;7,21E+09;1,02E+16
-4,15E+00;2,25E+10;1,53E+10;;7,21E+09;1,02E+16
-4,15E+00;2,25E+10;1,53E+10;;7,21E+09;1,02E+16
-4,14E+00;2,25E+10;1,50E+10;;7,53E+09;1,00E+16
-4,14E+00;2,25E+10;1,53E+10;;7,21E+09;1,02E+16
-4,13E+00;2,25E+10;1,50E+10;;7,53E+09;1,00E+16
-4,13E+00;2,25E+10;1,50E+10;;7,53E+09;1,00E+16
-4,12E+00;2,25E+10;1,47E+10;;7,84E+09;9,81E+15
-4,12E+00;2,15E+10;1,50E+10;;6,53E+09;1,00E+16
-4,11E+00;2,25E+10;1,50E+10;;7,53E+09;1,00E+16
-4,11E+00;2,20E+10;1,50E+10;;7,03E+09;1,00E+16
-4,10E+00;2,20E+10;1,50E+10;;7,03E+09;1,00E+16
-4,10E+00;2,20E+10;1,47E+10;;7,34E+09;9,81E+15
-4,09E+00;2,15E+10;1,47E+10;;6,84E+09;9,81E+15
-4,09E+00;2,20E+10;1,47E+10;;7,34E+09;9,81E+15
-4,08E+00;2,20E+10;1,47E+10;;7,34E+09;9,81E+15
-4,08E+00;2,20E+10;1,47E+10;;7,34E+09;9,81E+15
-4,07E+00;2,20E+10;1,47E+10;;7,34E+09;9,81E+15
-4,07E+00;2,20E+10;1,47E+10;;7,34E+09;9,81E+15
-4,06E+00;2,15E+10;1,47E+10;;6,84E+09;9,81E+15
-4,06E+00;2,15E+10;1,47E+10;;6,84E+09;9,81E+15
-4,05E+00;2,20E+10;1,44E+10;;7,65E+09;9,61E+15
-4,05E+00;2,15E+10;1,44E+10;;7,15E+09;9,61E+15
-4,04E+00;2,15E+10;1,44E+10;;7,15E+09;9,61E+15
-4,04E+00;2,10E+10;1,41E+10;;6,96E+09;9,41E+15
