x-axis;1;2;;Segundo diodo;
second;Volt;Volt;;Vd;Id
-4,44E+00;3,55E+10;1,69E+10;;1,87E+10;1,59E+15
-4,43E+00;3,50E+10;1,69E+10;;1,82E+10;1,59E+15
-4,43E+00;3,55E+10;1,69E+10;;1,87E+10;1,59E+15
-4,42E+00;3,55E+10;1,72E+10;;1,83E+10;1,62E+15
-4,42E+00;3,55E+10;1,72E+10;;1,83E+10;1,62E+15
-4,41E+00;3,55E+10;1,75E+10;;1,80E+10;1,65E+15
-4,41E+00;3,55E+10;1,72E+10;;1,83E+10;1,62E+15
-4,40E+00;3,60E+10;1,69E+10;;1,92E+10;1,59E+15
-4,40E+00;3,60E+10;1,72E+10;;1,88E+10;1,62E+15
-4,39E+00;3,60E+10;1,72E+10;;1,88E+10;1,62E+15
-4,39E+00;3,60E+10;1,75E+10;;1,85E+10;1,65E+15
-4,38E+00;3,60E+10;1,75E+10;;1,85E+10;1,65E+15
-4,38E+00;3,60E+10;1,75E+10;;1,85E+10;1,65E+15
-4,37E+00;3,60E+10;1,72E+10;;1,88E+10;1,62E+15
-4,37E+00;3,60E+10;1,75E+10;;1,85E+10;1,65E+15
-4,36E+00;3,60E+10;1,75E+10;;1,85E+10;1,65E+15
-4,36E+00;3,60E+10;1,75E+10;;1,85E+10;1,65E+15
-4,35E+00;3,60E+10;1,75E+10;;1,85E+10;1,65E+15
-4,35E+00;3,60E+10;1,75E+10;;1,85E+10;1,65E+15
-4,34E+00;3,65E+10;1,75E+10;;1,90E+10;1,65E+15
-4,34E+00;3,65E+10;1,78E+10;;1,87E+10;1,68E+15
-4,33E+00;3,65E+10;1,75E+10;;1,90E+10;1,65E+15
-4,33E+00;3,65E+10;1,78E+10;;1,87E+10;1,68E+15
-4,32E+00;3,65E+10;1,78E+10;;1,87E+10;1,68E+15
-4,32E+00;3,65E+10;1,78E+10;;1,87E+10;1,68E+15
-4,31E+00;3,65E+10;1,84E+10;;1,81E+10;1,74E+15
-4,31E+00;3,70E+10;1,81E+10;;1,89E+10;1,71E+15
-4,30E+00;3,65E+10;1,78E+10;;1,87E+10;1,68E+15
-4,30E+00;3,70E+10;1,81E+10;;1,89E+10;1,71E+15
-4,29E+00;3,70E+10;1,81E+10;;1,89E+10;1,71E+15
-4,29E+00;3,65E+10;1,81E+10;;1,84E+10;1,71E+15
-4,28E+00;3,70E+10;1,81E+10;;1,89E+10;1,71E+15
-4,28E+00;3,70E+10;1,81E+10;;1,89E+10;1,71E+15
-4,27E+00;3,70E+10;1,81E+10;;1,89E+10;1,71E+15
-4,27E+00;3,70E+10;1,81E+10;;1,89E+10;1,71E+15
-4,26E+00;3,65E+10;1,84E+10;;1,81E+10;1,74E+15
-4,26E+00;3,70E+10;1,81E+10;;1,89E+10;1,71E+15
-4,25E+00;3,65E+10;1,84E+10;;1,81E+10;1,74E+15
-4,25E+00;3,70E+10;1,84E+10;;1,86E+10;1,74E+15
-4,24E+00;3,75E+10;1,87E+10;;1,88E+10;1,76E+15
-4,24E+00;3,75E+10;1,84E+10;;1,91E+10;1,74E+15
-4,23E+00;3,70E+10;1,87E+10;;1,83E+10;1,76E+15
-4,23E+00;3,75E+10;1,87E+10;;1,88E+10;1,76E+15
-4,22E+00;3,75E+10;1,87E+10;;1,88E+10;1,76E+15
